Type,Step Size,Goal Bias,Spacing,Steepness,Path Length,Path Nodes,Smooth Length,Smooth Nodes,Total Nodes,Time Taken,Obstacles
Greedy,2,0.37,0,12,99.00026055123179,53,93.04699676561975,55,287,0.6931624412536621,19
Speedy,2,0.37,0.5,12,108.04438986744061,64,98.38685488003019,66,2584,12.334098815917969,19
Normal,2,0,0,12,103.55731683019422,60,95.9179257269857,62,3998,13.044804573059082,19
Spaced,2,0,0.5,12,105.7887302260565,58,95.98003051599932,60,1398,4.630486965179443,19
Greedy,2,0.37,0,12,108.3172800733008,64,101.38108841358904,66,3470,12.510958194732666,19
Speedy,2,0.37,0.5,12,95.00150761566628,51,87.15452639671227,53,503,2.209883213043213,19
Normal,2,0,0,12,116.48131633986812,68,102.838698027195,70,3535,10.79917573928833,19
Spaced,2,0,0.5,12,108.45200886513707,66,100.59080480624073,68,2584,9.821345567703247,19
Greedy,2,0.37,0,12,106.1961800914357,64,95.19296542049564,66,2694,8.697035551071167,19
Speedy,2,0.37,0.5,12,106.472513074753,59,97.99639328924634,61,1126,4.045284748077393,19
Normal,2,0,0,12,90.14104056681845,53,83.67362992510361,55,2899,7.9550089836120605,19
Spaced,2,0,0.5,12,103.69899315303438,53,94.4793555585092,55,643,2.221205711364746,19
Greedy,2,0.37,0,12,111.3508250604604,59,102.91120640425233,61,698,1.8268013000488281,19
Speedy,2,0.37,0.5,12,100.86732735897601,58,94.3424677989544,60,2263,10.12991976737976,19
Normal,2,0,0,12,92.34762195912715,50,85.2881531560111,52,1123,2.433713912963867,19
Spaced,2,0,0.5,12,104.65337027288403,60,96.6436977343664,62,2034,7.152734279632568,19
Greedy,2,0.37,0,12,97.70470266192156,56,90.90292152405937,58,2577,7.789663314819336,19
Speedy,2,0.37,0.5,12,95.30647977757118,56,87.30457369054665,58,2536,11.587189435958862,19
Normal,2,0,0,12,102.21131918546129,58,95.26858819235447,60,1545,3.554453134536743,19
Spaced,2,0,0.5,12,97.68792699229414,56,88.96334482422847,58,2563,9.70963716506958,19
Greedy,2,0.37,0,12,100.42497225195498,57,92.45579399527286,59,1639,4.172434329986572,19
Speedy,2,0.37,0.5,12,102.7098216068193,56,94.79653975148364,58,441,1.8716397285461426,19
Normal,2,0,0,12,115.61294287724196,68,105.88103797990479,70,3138,9.191107988357544,19
Spaced,2,0,0.5,12,104.4929769214392,61,95.86168044620126,63,1891,7.0225019454956055,19
Greedy,2,0.37,0,12,110.64733064885631,68,98.37400821084827,70,3464,12.492786407470703,19
Speedy,2,0.37,0.5,12,98.72970240727305,53,88.94353019043456,55,947,3.4552364349365234,19
Normal,2,0,0,12,96.63888459231703,59,86.8349522962317,61,3014,8.743956089019775,19
Spaced,2,0,0.5,12,91.77521767332988,51,83.92745059341551,53,869,3.0382261276245117,19
Greedy,2,0.37,0,12,107.56964618212771,59,98.5286587660184,61,1971,5.4711456298828125,19
Speedy,2,0.37,0.5,12,94.44353803661566,51,87.36783529199495,53,556,2.294722318649292,19
Normal,2,0,0,12,94.60417154119101,56,86.89527436094328,58,2729,7.079072713851929,19
Spaced,2,0,0.5,12,110.47674253393176,60,98.96176473341909,62,1914,7.2612833976745605,19
Greedy,2,0.37,0,12,107.66733738182488,64,99.27073629419228,66,3909,14.68144154548645,19
Speedy,2,0.37,0.5,12,91.19118780678919,49,85.61946534836608,51,519,2.332359552383423,19
Normal,2,0,0,12,97.75554236440448,55,89.5340880944556,57,1816,4.206043720245361,19
Spaced,2,0,0.5,12,100.12131209565631,57,90.3266861811614,59,2221,7.91915225982666,19
Greedy,2,0.37,0,12,109.43817699372534,65,97.39616993412955,67,3640,12.67623519897461,19
Speedy,2,0.37,0.5,12,109.25964169278629,66,96.12954218446718,68,2628,12.724771499633789,19
Normal,2,0,0,12,112.18833264107069,67,97.23493110001142,69,2868,8.1048104763031,19
Spaced,2,0,0.5,12,97.00291716538533,51,89.83239942592415,53,962,3.503350019454956,19
